"Opportunity Name","CloseDate","Stage","ERROR"
"Opp_Name_01","29-05-2024","Prospecting","Error converting value to correct data type: Failed to parse date: 29-05-2024"
"Opp_Name_02","29-05-2024","Prospecting","Error converting value to correct data type: Failed to parse date: 29-05-2024"
"Opp_Name_03","29-05-2024","Prospecting","Error converting value to correct data type: Failed to parse date: 29-05-2024"
"Opp_Name_04","29-05-2024","Prospecting","Error converting value to correct data type: Failed to parse date: 29-05-2024"
"Opp_Name_05","29-05-2024","Prospecting","Error converting value to correct data type: Failed to parse date: 29-05-2024"
"Opp_Name_06","29-05-2024","Prospecting","Error converting value to correct data type: Failed to parse date: 29-05-2024"
"Opp_Name_07","29-05-2024","Prospecting","Error converting value to correct data type: Failed to parse date: 29-05-2024"
"Opp_Name_08","29-05-2024","Prospecting","Error converting value to correct data type: Failed to parse date: 29-05-2024"
"Opp_Name_09","29-05-2024","Prospecting","Error converting value to correct data type: Failed to parse date: 29-05-2024"
"Opp_Name_10","29-05-2024","Prospecting","Error converting value to correct data type: Failed to parse date: 29-05-2024"
"Opp_Name_11","29-05-2024","Prospecting","Error converting value to correct data type: Failed to parse date: 29-05-2024"
"Opp_Name_12","29-05-2024","Prospecting","Error converting value to correct data type: Failed to parse date: 29-05-2024"
"Opp_Name_13","29-05-2024","Prospecting","Error converting value to correct data type: Failed to parse date: 29-05-2024"
"Opp_Name_14","29-05-2024","Prospecting","Error converting value to correct data type: Failed to parse date: 29-05-2024"
"Opp_Name_15","29-05-2024","Prospecting","Error converting value to correct data type: Failed to parse date: 29-05-2024"
"Opp_Name_16","29-05-2024","Prospecting","Error converting value to correct data type: Failed to parse date: 29-05-2024"
"Opp_Name_17","29-05-2024","Prospecting","Error converting value to correct data type: Failed to parse date: 29-05-2024"
"Opp_Name_18","29-05-2024","Prospecting","Error converting value to correct data type: Failed to parse date: 29-05-2024"
"Opp_Name_19","29-05-2024","Prospecting","Error converting value to correct data type: Failed to parse date: 29-05-2024"
"Opp_Name_20","29-05-2024","Prospecting","Error converting value to correct data type: Failed to parse date: 29-05-2024"
"Opp_Name_21","29-05-2024","Prospecting","Error converting value to correct data type: Failed to parse date: 29-05-2024"
"Opp_Name_22","29-05-2024","Prospecting","Error converting value to correct data type: Failed to parse date: 29-05-2024"
"Opp_Name_23","29-05-2024","Prospecting","Error converting value to correct data type: Failed to parse date: 29-05-2024"
"Opp_Name_24","29-05-2024","Prospecting","Error converting value to correct data type: Failed to parse date: 29-05-2024"
"Opp_Name_25","29-05-2024","Prospecting","Error converting value to correct data type: Failed to parse date: 29-05-2024"
"Opp_Name_26","29-05-2024","Prospecting","Error converting value to correct data type: Failed to parse date: 29-05-2024"
"Opp_Name_27","29-05-2024","Prospecting","Error converting value to correct data type: Failed to parse date: 29-05-2024"
"Opp_Name_28","29-05-2024","Prospecting","Error converting value to correct data type: Failed to parse date: 29-05-2024"
"Opp_Name_29","29-05-2024","Prospecting","Error converting value to correct data type: Failed to parse date: 29-05-2024"
"Opp_Name_30","29-05-2024","Prospecting","Error converting value to correct data type: Failed to parse date: 29-05-2024"
"Opp_Name_31","29-05-2024","Prospecting","Error converting value to correct data type: Failed to parse date: 29-05-2024"
"Opp_Name_32","29-05-2024","Prospecting","Error converting value to correct data type: Failed to parse date: 29-05-2024"
"Opp_Name_33","29-05-2024","Prospecting","Error converting value to correct data type: Failed to parse date: 29-05-2024"
"Opp_Name_34","29-05-2024","Prospecting","Error converting value to correct data type: Failed to parse date: 29-05-2024"
"Opp_Name_35","29-05-2024","Prospecting","Error converting value to correct data type: Failed to parse date: 29-05-2024"
"Opp_Name_36","29-05-2024","Prospecting","Error converting value to correct data type: Failed to parse date: 29-05-2024"
"Opp_Name_37","29-05-2024","Prospecting","Error converting value to correct data type: Failed to parse date: 29-05-2024"
"Opp_Name_38","29-05-2024","Prospecting","Error converting value to correct data type: Failed to parse date: 29-05-2024"
"Opp_Name_39","29-05-2024","Prospecting","Error converting value to correct data type: Failed to parse date: 29-05-2024"
"Opp_Name_40","29-05-2024","Prospecting","Error converting value to correct data type: Failed to parse date: 29-05-2024"
"Opp_Name_41","29-05-2024","Prospecting","Error converting value to correct data type: Failed to parse date: 29-05-2024"
"Opp_Name_42","29-05-2024","Prospecting","Error converting value to correct data type: Failed to parse date: 29-05-2024"
"Opp_Name_43","29-05-2024","Prospecting","Error converting value to correct data type: Failed to parse date: 29-05-2024"
"Opp_Name_44","29-05-2024","Prospecting","Error converting value to correct data type: Failed to parse date: 29-05-2024"
"Opp_Name_45","29-05-2024","Prospecting","Error converting value to correct data type: Failed to parse date: 29-05-2024"
"Opp_Name_46","29-05-2024","Prospecting","Error converting value to correct data type: Failed to parse date: 29-05-2024"
"Opp_Name_47","29-05-2024","Prospecting","Error converting value to correct data type: Failed to parse date: 29-05-2024"
"Opp_Name_48","29-05-2024","Prospecting","Error converting value to correct data type: Failed to parse date: 29-05-2024"
"Opp_Name_49","29-05-2024","Prospecting","Error converting value to correct data type: Failed to parse date: 29-05-2024"
"Opp_Name_50","29-05-2024","Prospecting","Error converting value to correct data type: Failed to parse date: 29-05-2024"
